A,B,C,D,E,F,G,H,I
35,35,172,63,1.8525,-8.9283,1.9977,-13.624,456.15
36,36,172,63,1.8525,-10.373,2.0407,-13.035,495.93
37,37,172,63,1.8525,-11.945,2.1644,-12.526,536.15
38,38,172,63,1.8525,-13.568,2.3912,-12.09,576.42
39,39,172,63,1.8525,-15.072,2.7958,-11.706,616.64
40,40,172,63,1.8525,-16.218,3.4855,-11.368,656.82
41,41,172,63,1.8525,-16.912,4.4611,-11.12,696.7
42,42,172,63,1.8525,-17.217,5.6327,-11.029,735.36
43,43,172,63,1.8525,-17.302,6.8692,-11.145,770.82
44,44,172,63,1.8525,-17.357,8.0769,-11.489,799.87
45,45,172,63,1.8525,-17.51,9.2759,-12.061,818.17
46,46,172,63,1.8525,-17.79,10.562,-12.878,820.8
47,47,172,63,1.8525,-18.185,12.008,-13.992,803.19
48,48,172,63,1.8525,-18.652,13.611,-15.461,762.4
49,49,172,63,1.8525,-19.066,15.321,-17.351,698.37
50,50,172,63,1.8525,-19.244,17.114,-19.707,614.83
51,51,172,63,1.8525,-19.035,19.02,-22.665,519.37
